UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oliver Neuroth,@ONeuroth,2020-04-05T14:10:11.000Z,"Signale der Entspannung in #Spanien: Den dritten Tag in Folge sinkt die Zahl der neuen Todesfälle im Zusammenhang mit #Covid19. Regierungschef Sánchez fordert einen Marshallplan, um die Wirtschaft wieder aufzubauen.","Corona-Pandemie: Positiver Trend in Spanien setzt sich fort
Seit Wochen gelten in Spanien strenge Ausgangssperren. Die einschneidenden Maßnahmen zeigen offenbar Wirkung: Die Zahl der Neuinfektionen und der Toten geht zurück - allerdings auf hohem Niveau.
tagesschau.de",,,1,7,[],https://twitter.com/ONeuroth/status/1246802316927348736
June Gbadamosi,@sheisJunene,2020-04-05T11:45:29.000Z,"It's another Sunday, A Palm Sunday! This is not how we planned it.
#COVID19",,,,,1,[],https://twitter.com/sheisJunene/status/1246765900243636225
Daniel Rottlaender,@RottiAtHome,2020-04-05T12:25:47.000Z,"Hey 
@disneyplus
, wenn will #TheWeekenders be available? My quarantined self is waiting for it lol! #COVID19",,,,,2,[],https://twitter.com/RottiAtHome/status/1246776043895169024
Julia Nikoláeva,@juliefromspb,2020-04-06T09:05:41.000Z,"Was soll das? 
„In China soll INFrec bei COVID-19 geholfen haben. Deshalb will ein Unternehmer es nach Deutschland einführen. Eine Ladung steht bereit, doch bisher darf er sie nicht einführen. Nun verhandelt er mit einem anderen Land.“
#Corona #COVID19","In China erfolgreich eingesetzt: Deutsche Firma will Corona-Medikament aus Kuba importieren
In China soll INFrec bei COVID-19 geholfen haben. Deshalb will ein Unternehmer es nach Deutschland einführen. Eine Ladung steht bereit, doch bisher darf er sie nicht einführen. Nun verhandelt er mit...
focus.de",,6,8,21,['https://pbs.twimg.com/card_img/1397468006733778945/vFubZp7g?format=jpg&name=small'],https://twitter.com/juliefromspb/status/1247088072954720256
Hevante,@HevanteX,2020-04-06T15:16:42.000Z,"So ihr pisser mit euren scheiß Hamsterkäufen: Ich wollt endlich mal wieder richtig geile Burger kochen und was fehlt: Das Fleisch. Das kann nur von euch hamstern ausverkauft sein

Ich werde euch dafür hassen 
#coronavirus #COVID19 #Hamsterkaeufe",,😐,2,,3,['https://pbs.twimg.com/media/EU7g544X0AUCkAk?format=jpg&name=900x900'],https://twitter.com/HevanteX/status/1247181445627551745
Franz-Josef Baldus,@snackcontent_de,2020-04-06T10:45:13.000Z,"Ein weiterer Erklärvideo-Snack von uns für 
@germandoctors
 - mit Verhaltenstipp für diejenigen unter euch, die sich krank fühlen und eine #Covid19 Ansteckung befürchten. #SnackContent","German Doctors e.V.
@germandoctors
 · 6. Apr. 2020
Sie fühlen sich krank und fürchten, sich mit dem #Coronavirus infiziert zu haben? Die @germandoctors  zeigen in diesem Video, worauf Sie achten müssen und wie Sie sich verhalten sollten, bis die Diagnose gesichert ist.",,,,,"['https://pbs.twimg.com/profile_images/881785783954309120/Jw5KE33K_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1247110114810740736/pu/img/piaWFlGzDQX9bo-N.jpg']",https://twitter.com/snackcontent_de/status/1247113123238207488
Franz-Josef Baldus,@snackcontent_de,2020-04-06T10:45:13.000Z,"Ein weiterer Erklärvideo-Snack von uns für 
@germandoctors
 - mit Verhaltenstipp für diejenigen unter euch, die sich krank fühlen und eine #Covid19 Ansteckung befürchten. #SnackContent","German Doctors e.V.
@germandoctors
 · 6. Apr. 2020
Sie fühlen sich krank und fürchten, sich mit dem #Coronavirus infiziert zu haben? Die @germandoctors  zeigen in diesem Video, worauf Sie achten müssen und wie Sie sich verhalten sollten, bis die Diagnose gesichert ist.
0:49
179 Mal angezeigt",,,,,['https://pbs.twimg.com/profile_images/881785783954309120/Jw5KE33K_mini.jpg'],https://twitter.com/snackcontent_de/status/1247113123238207488
(((Andy Artmann))),@artbap,2020-04-07T23:28:58.000Z,"#FakeNews: Die Schäbigen, die Tödlichen und die Saudummen … #CoVid #Corona #covid19 https://tagesspiegel.de/themen/reportage/verschwoerungstheorien-zum-coronavirus-die-schaebigen-die-toedlichen-und-die-saudummen/25716306.html…",,,,,1,[],https://twitter.com/artbap/status/1247667714954604544
RenéL,@raennes_l,2020-04-07T12:21:24.000Z,Also manchmal.. hab gerade jmnd gesehen der seine Schutzmaske im Nacken! hatte dafür vorne ne kippe im Mund. Muss ich das verstehen? #COVID19 #coronavirus,,,3,,1,[],https://twitter.com/raennes_l/status/1247499716889362432
Sep PietSmiet #FF6,@SepPietsmiet,2020-04-07T05:56:29.000Z,"Wenn man nur von Pollen niesen muss und alle denken man sei der wandelnde Tod  #COVID19
Geht die Zeit wieder los ... ",,🔥 😷 😓,30,22,1.193,[],https://twitter.com/SepPietsmiet/status/1247402850654859265
