,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-06-12,kinderarbeit,corona,reise,ticket,bahn,leichtathletik,warnung,nachrichtenredaktion,pandemie,coronavirus
2020-06-13,journalist,vertrag,staat,eu,abgeriegelt,binnengrenzen,daueraufenthaltsgenehmigung,dort,fleischmarkt,informationstechnik
2020-06-14,schengenstaaten,rassismus,antisemitismus,grenze,ungerechtigkeit,bahn,coronavirus,winterurlauber,wunsch,demonstration
2020-06-15,corona,euro,studierend,neuverschuldung,reisewarnung,nachtragshaushalt,angestellt,zuschuß,pandemie,adriaküste
2020-06-16,ap,wissenslücke,kirchentag,metall,sonderrechte,ig,nutzer,tragweite,gewerkschaft,coronavirus
2020-06-17,corona,nachtragshaushalt,schlachtereibetrieb,coronavirus,ap,sommerferien,pokalfinale,kreis,fleischfabrik,flug
2020-06-18,corona,schlachtbetrieb,hochhaus,tönnies,werkvertrag,tourismus,euro,schlachthof,botschaft,milliarde
2020-06-19,abwässer,corona,filiale,bundeswehr,monitoring,fleischfabrik,dezember,coronavirus,schlachtbetrieb,ausbruch
2020-06-20,missstände,ausbruch,coronavirus,zahl,infektion,vortag,anstoß,aufsichtsratsvorsitzende,haushaltsangehörigen,konzernspitze
2020-06-21,ausbruch,fleischbetrieb,corona,abriegelung,rolle,kontaktnachverfolgung,wasserwerfer,ausschreitung,coronavirus,kreis
2020-06-22,bankensystem,corona,schlachtbetrieb,ausbruch,zahl,bank,person,gesundheitspolitiker,industrie,konferenz
2020-06-23,schlachtbetrieb,kreis,werkvertrag,corona,welthandel,schlachthof,sachverständigenrat,ausbruch,mensch,person
2020-06-24,kreis,ausbruch,schlachthof,corona,schwimmbad,umgebung,arbeiter,frau,person,verein
2020-06-25,sub,corona,immunitätsausweis,stigmatisierung,eiffelturm,studie,schuld,süden,strand,kultur
2020-06-26,corona,mensch,kreis,fleisch,ausbruch,ausbrüchen,mark,zahl,handel,prozent
2020-06-27,zeugnis,corona,seit,facebook,podcast,kreis,uno,bildungsforscher,bundeslehranstalt,eur
2020-06-28,coronavirus,mensch,staatstheater,club,ensemble,infektion,pflegeheim,schlachthof,maske,test
2020-06-29,kreis,corona,warendorf,sondersitzung,konjunkturpaket,bewältigung,bundesrat,mehrwertsteuersatz,prozent,bonus
2020-06-30,corona,kurzarbeit,bundesstaat,coronakrise,prozent,angehörige,abstrichstelle,charite,fleischfabrikant,führungsamt
2020-07-02,corona,nachtragshaushalt,kommune,prozent,eurozone,quote,mensch,zuschauer,spiel,jahr
2020-07-03,neuzulassung,notaufnahme,corona,niveau,absatzrückgang,bulletin,kraftfahrt,schnapsleichen,tochterunternehmen,zahlungsschwierigkeit
2020-07-04,nationalfeiertag,arznei,corona,maskenpflicht,nahverkehr,erfolg,alkoholpegel,kombinations,lenkungsausschusses,präsidentensohn
2020-07-05,bezirk,parlamentswahl,sonntag,neuansteckung,pandemie,politiker,behördengang,donald,energiesteuer,exzeß
2020-07-06,aids,corona,wahlkampfveranstaltung,einzelhandel,besucher,louvre,pandemie,halle,maskenpflicht,schutzmaske
2020-07-07,austritt,corona,leitlinie,hochschule,grippeimpfung,fc,lufthansa,zahl,atemwegserkrankung,turnier
2020-07-08,busfahrer,attest,kreisgrenze,weltbank,maskenpflicht,mann,verantwortung,aussteigen,cnbc,demobesuch
2020-07-09,hilfsorganisation,corona,präsident,gesamtzahl,auslandsgast,bevölkerungs,freiluft,indigenenvereinigung,interviews,mennoniten
2020-07-10,corona,aussteller,berufskrankheit,genaktivität,herbsttagung,herzzelle,unfallversicherung,coronavirus,busfahrer,krise
2020-07-11,hinrichtung,cop,corona,lernen,schule,spieler,mundschutz,angehörige,betreuenden,bundesbezirksgericht
2020-07-12,corona,entwicklungsland,hilfswerk,stadion,bild,krise,chefarzt,den,innovationsvorhaben,jubiläum
2020-07-13,richter,schulschließung,alkoholverkaufsverbot,altkleidersammlung,bildungsnotstand,fauci,frühehen,kinderrechtsorganisation,kleiderschränke,landeskultusminister
2020-07-14,franken,nationalfeiertag,land,coronavirus,regierung,ausbruch,ausländer,job,pflegekraft,übertragung
2020-07-15,bierstraße,lebensmittelproduktion,teilbereich,vierschanzentournee,corona,urlaubssaison,technik,reisewarnung,sommerferien,verwaltung
2020-07-16,karibik,biergarten,lokal,weltwirtschaft,familiennachzug,gewerbesteuer,corona,mensch,hotspots,straße
2020-07-17,dienstlaptop,land,corona,schwein,zahl,mail,lehrer,coronavirus,drittstaat,juli
2020-07-18,bistümer,landeskirche,diplomat,verhandlung,zuschuß,milliarde,corona,angabe,infektion,euro
2020-07-19,lager,menschenrechtler,winkel,landkreis,corona,dunkelziffer,abschreckung,ermessensfrage,geflügel,geflügelschlachterei
2020-07-20,corona,wirtschaft,leistungsniveau,sicherheitsgesetz,pandemie,bda,insasse,gewalt,erfahrung,hotspots
2020-07-21,corona,coronavirus,antikörper,pandemie,überwindung,arbeitszeit,krise,rapper,steueraufkommen,million
2020-07-23,kohle,corona,politisierung,zielgruppe,rapper,flughafen,meisterschaft,mensch,grundeinkommen,parlamentarier
2020-07-24,corona,moral,schulbehörde,verletzt,parteitag,republikaner,august,zahl,mensch,mund
2020-07-25,parade,feier,corona,mensch,berufsverkehr,bucht,kanäle,kontaktüberprüfung,krankenhausstudie,lokalsender
2020-07-26,spätaussiedler,corona,branche,heil,verdachtsfall,samstagabend,menschen,lehrerverband,arbeitsmodell,aufnahmeprozeß
2020-07-27,corona,hof,staatsregierung,risiko,urlauber,coronavirus,mensch,risikogebiet,reiserückkehrer,test
2020-07-28,corona,testpflicht,gast,arbeitsmarkt,arbeitsmarktbarometer,umgestaltung,schwäbische,trauerfeier,infektion,risikogebiet
2020-07-29,beatmung,corona,patient,impfstoff,ermittlung,bundesagentur,vertrag,vertrauen,abrechnungsdaten,beitragseinnahme
2020-07-30,corona,prozent,quartal,minus,mensch,krise,milliarde,verlust,ausland,neuinfektion
2020-07-31,corona,bip,bruttoinlandsprodukt,lehrerverband,rückschlag,vorquartal,region,statistikamt,august,quartal
2020-08-02,corona,einbuße,lengfelder,gästelisten,ordnungsämter,polizei,delegiert,mensch,bareiß,arbeitslosigkeit
2020-08-03,schuljahr,überlegung,coronavirus,corona,rückkehrer,maskenpflicht,risikogebiet,metropole,mensch,schule
2020-08-04,werft,geschlechtsverkehr,konservenfabrik,dienstleistung,corona,mitarbeiter,basis,senat,abhängigkeitsverhältnisse,beibezahlung
2020-08-05,corona,welle,wasch,regelbetrieb,fokus,schule,coronavirus,verstoß,virus,fall
2020-08-06,zugbegleiter,reisewarnung,anhänger,maske,botschaft,kündigung,corona,testpflicht,aerosole,prozent
2020-08-07,lehrerin,phishing,zoo,urlaub,chanasit,schmidt,corona,garten,export,verband
2020-08-08,profi,arge,ausschreibung,belüften,busreise,einkaufsstraß,nachwuchsspieler,seineufer,sicherheitsgefühl,u19
2020-08-09,mensch,kurzarbeitergeld,party,coronavirus,stelle,arbeitslose,testkapazität,impfstoff,park,artikel
2020-08-10,urlaubsregion,corona,bundesinnenministerium,himmel,messe,zahl,schuljahr,anspruch,befragt,abwanderung
2020-08-11,gerücht,verpackung,diakonie,weihnachtsmärkte,corona,million,reaktion,drohmails,einlasskontrollen,elternhaus
2020-08-12,corona,fördervolumen,mrd,oktober,förderbank,volksrepublik,herbst,zusammenhalt,impfstoff,angabe
2020-08-13,zeitarbeiter,corona,panne,mehrwertsteuer,rücktritt,bahn,zug,ankündigung,verzögerung,reisend
2020-08-14,corona,bundesvergleich,vizepräsident,antikörper,coronavirus,museum,hotspot,risikogebiet,us,warnung
2020-08-15,corona,reservierung,vier,befund,gesundheitsamt,bahn,urlaub,nasen,maskenpflicht,strand
2020-08-16,corona,wähler,jude,land,diskotheken,teststelle,uhr,demonstration,befund,infektion
2020-08-17,landesanstalt,sendezeit,werbung,gesichtsmasken,feier,börsenkursanzeige,entschiedenheit,gefahrenquelle,leugnern,lfk
2020-08-18,mannschaft,museum,mail,ticket,corona,karneval,august,coronavirus,party,vorstand
2020-08-19,livemusik,jahresbeginn,euro,maskenpflicht,bedeckung,reisend,mund,corona,nase,bußgelduntergrenze
2020-08-20,corona,karneval,plattform,zahl,brauchtumsverein,clubszene,jahressicht,pendelwege,veranstaltungswesen,verkehrsstaatssekretär
2020-08-21,corona,karneval,mädchen,heizpilz,nase,attest,mund,außenbereich,sommerurlaub,name
2020-08-22,experiment,konzert,insektenzellen,corona,zahl,impfstoff,bahnreise,behördensprecher,coronarisiko,coronation
2020-08-23,corona,parteitag,mensch,neuinfektion,feld,karrenbauer,kramp,parteivorsitzend,kirche,kurzarbeitergeld
2020-08-24,bahn,bahnhof,gesundheitssenatorin,reiserückkehrer,corona,feier,filmfestspiele,förderzentren,impfstoffinitiative,nüßlein
2020-08-25,corona,adria,absatz,vorgaben,reiserückkehrer,league,tennis,tour,prozent,ifo
2020-08-27,corona,tests,bund,großveranstaltung,land,gleichviel,nichtbeachtung,veranstaltungsverbot,westfale,beschlussentwurf
2020-08-28,casino,nerz,corona,weihnachtsmarkt,zucht,farm,verbot,androhung,bellagio,farmen
2020-08-29,corona,coronainfektion,demonstration,infektionszahl,verwaltungsgericht,ausschluss,betreuungsinstitut,eilbeschlüsse,einfluß,einzelgruppe
2020-08-30,absperrung,reichstagsgebäude,karneval,corona,coronaregeln,hausmitteilung,kalkül,neonazi,sitzungssaal,mensch
2020-08-31,reichstagsgebäude,corona,innensenator,geisel,reichstagstreppe,innenausschuß,abgeordnetenhaus,bundestag,coronavirus,mindestabstand
2020-09-01,corona,hass,wahllokal,gewerkschaft,bildungsminister,pandemie,angriff,gegner,bewegung,september
2020-09-02,corona,bundesministerium,ballweg,existenznot,bevölkerungszahl,einstufung,september,insel,flächenstaat,friedrichstadt
2020-09-03,blutspende,blut,grippe,bordell,wohlstand,kardinal,ex,liste,pandemie,drittstaat
2020-09-04,panne,flughafen,corona,oppositionelle,bordell,,fehler,dienstleister,zahl,ampel
2020-09-05,corona,testspiel,trauer,zuschauer,staatsoper,regie,fan,stärkung,land,einheit
2020-09-06,corona,weihnachtsmärkte,département,impfstoffdosen,rechtsextremist,million,verfassungsschutz,maßnahmen,zone,prozent
2020-09-07,corona,techniker,kinderbonus,krankenkasse,museum,krankenstand,laborkapazität,kindergeld,département,kandidaten
2020-09-08,corona,tour,buchmesse,ersthelfern,hilfsdienst,malteser,aussteller,quarantänezeit,esoteriker,ausbildung
2020-09-09,reisewarnung,anhörung,corona,amt,infektionslage,warnung,alttag,berufsanfänger,berufseinsteiger,bewertet
2020-09-10,unterbrechung,myelitis,steuerschätzung,programm,studie,magazin,teilnehmer,accelerator,demonstrationder,geberländfen
2020-09-11,milliarde,freitag,corona,zahl,blutverdünner,euro,wohnungslose,gasse,blutgerinnsel,konjunkturprogramm
2020-09-12,corona,bundesdatenschutzbeauftragt,koordinator,mensch,infektion,amateurboxer,chronologie,ferienort,hauptkundgebung,kontaktdaten
2020-09-13,corona,sinfoniker,flüchtling,biker,dach,lager,auflagen,pandemie,party,coronavirus
2020-09-14,spruch,kampagne,corona,schulter,herbst,maske,schüler,amerikanerin,bierdeckeln,caravan
2020-09-15,corona,forschungsministerin,impfstoffentwicklung,geisel,bar,umsatz,spahn,abkürzung,bundeslösung,fußballfans
2020-09-16,corona,rabbinerkonferenz,risikogebiet,mitarbeitende,streik,arbeitsbedingung,einstufung,risikogebiete,coronavirus,hauptstadt
2020-09-17,corona,armut,ausländer,corna,entfernung,freizeiteinrichtungen,registrierungspflicht,labor,ansteckungen,fragebogen
2020-09-18,sammlung,vereinbarkeit,corona,prämie,beruf,werk,initiative,reaktion,vorgabe,finanzminister
